Iteration, MSE before, Harmonic energy, min|Jac|, 0.2% |Jac|, 01% |Jac|, 99% |Jac|, 99.8% |Jac|, max|Jac|, ratio(|Jac|<=0)
0, 0.0468616, 0.00620339, 0.616258, 0.774326, 0.853617, 1.17228, 1.29274, 1.73209, 0
1, 0.0207554, 0.01052, 0.529649, 0.69786, 0.805264, 1.22388, 1.41158, 2.03903, 0
2, 0.0166637, 0.0132658, 0.408477, 0.650471, 0.778779, 1.24913, 1.45977, 2.18135, 0
3, 0.0150551, 0.0156585, 0.312766, 0.597868, 0.760529, 1.26299, 1.48133, 2.16238, 0
4, 0.0137516, 0.0175071, 0.237695, 0.539397, 0.744585, 1.27035, 1.49231, 2.11213, 0
5, 0.0128457, 0.0186904, 0.174086, 0.510374, 0.733302, 1.27626, 1.49618, 2.11194, 0
6, 0.0122728, 0.0194485, 0.149903, 0.498315, 0.724119, 1.28039, 1.4977, 2.1057, 0
7, 0.0118881, 0.0198871, 0.149769, 0.494977, 0.719141, 1.2815, 1.49608, 2.09298, 0
8, 0.011662, 0.0201905, 0.155192, 0.493368, 0.715648, 1.28387, 1.4957, 2.07341, 0
9, 0.0115057, 0.020412, 0.165116, 0.48742, 0.71217, 1.28694, 1.49193, 2.02935, 0
10, 0.011418, 0.0206131, 0.168641, 0.484935, 0.710259, 1.28886, 1.48689, 1.98203, 0
11, 0.0113547, 0.0207827, 0.17077, 0.481861, 0.708469, 1.29067, 1.48503, 1.93673, 0
12, 0.0113134, 0.0209286, 0.170038, 0.47974, 0.706235, 1.29189, 1.48479, 1.89724, 0
13, 0.0112846, 0.0210399, 0.168214, 0.480981, 0.705498, 1.29295, 1.48262, 1.86606, 0
14, 0.0112662, 0.0211351, 0.164718, 0.480934, 0.703953, 1.29517, 1.47908, 1.84247, 0
0, 0.0204966, 0.0299399, -0.139763, 0.39388, 0.65942, 1.35655, 1.57257, 2.20581, 7.99006e-05
1, 0.0110582, 0.034713, -0.267624, 0.342083, 0.636022, 1.38297, 1.61071, 2.39097, 0.000261896
2, 0.00929317, 0.0371459, -0.33459, 0.313317, 0.62343, 1.39566, 1.63296, 2.49848, 0.000363991
3, 0.00866877, 0.03855, -0.430105, 0.300289, 0.615591, 1.4034, 1.64444, 2.76787, 0.000403942
4, 0.0083958, 0.0394379, -0.485225, 0.291271, 0.609921, 1.40872, 1.65331, 2.96682, 0.000426136
5, 0.00825798, 0.0400404, -0.501021, 0.286525, 0.605697, 1.41197, 1.65762, 3.0545, 0.000448331
6, 0.00817856, 0.0404758, -0.498195, 0.280375, 0.602589, 1.4145, 1.66187, 3.07941, 0.000462757
7, 0.0081264, 0.0408014, -0.489743, 0.274859, 0.600344, 1.41631, 1.66513, 3.07007, 0.000474964
8, 0.00808935, 0.0410581, -0.480484, 0.271157, 0.5984, 1.41743, 1.66769, 3.04182, 0.000481623
9, 0.00806232, 0.0412665, -0.472082, 0.269299, 0.59665, 1.41873, 1.66831, 2.99986, 0.000486062
0, 0.0250454, 0.052045, -0.859687, 0.227963, 0.550488, 1.49558, 1.80363, 3.43487, 0.000624084
1, 0.0177101, 0.0580852, -1.17585, 0.202726, 0.526114, 1.52955, 1.86386, 3.76411, 0.000704956
2, 0.0161926, 0.0610925, -1.254, 0.189382, 0.513605, 1.54502, 1.89285, 4.088, 0.000746571
3, 0.0156449, 0.0627921, -1.2727, 0.181256, 0.506192, 1.55321, 1.91041, 4.40686, 0.00077806
4, 0.0153848, 0.0638428, -1.27772, 0.176192, 0.501893, 1.55738, 1.92171, 4.63038, 0.00079637
